name,type
.gitignore,file
.mailmap,file
.travis.yml,file
.travis_suppressions,file
AUTHORS,file
AssignmentAddressToInteger,dir
COPYING,file
Cppcheck.xcodeproj,dir
GPLv3.rtf,file
Makefile,file
README.txt,file
about.ui,file
aboutdialog.cpp,file
aboutdialog.h,file
application.cpp,file
application.h,file
application.ui,file
applicationdialog.cpp,file
applicationdialog.h,file
applicationlist.cpp,file
applicationlist.h,file
applications-development.png,file
applications-system.png,file
argparse.py,file
arrayIndexOutOfBounds,dir
autoVariables,dir
avr.cfg,file
aws.py,file
bad.c,file
bad.cpp,file
banner.jpg,file
bar1,file
bar1.foo,file
benchmark,dir
benchmark.pro,file
benchmarksimple.cpp,file
benchmarksimple.h,file
bufferAccessOutOfBounds,dir
build-pcre.txt,file
build.bat,file
build.sh,file
buildhelp.bat,file
buildman.sh,file
cfg,dir
check.cpp,file
check.h,file
check.sh,file
check64bit.cpp,file
check64bit.h,file
checkassert.cpp,file
checkassert.h,file
checkautovariables.cpp,file
checkautovariables.h,file
checkbool.cpp,file
checkbool.h,file
checkboost.cpp,file
checkboost.h,file
checkbufferoverrun.cpp,file
checkbufferoverrun.h,file
checkclass.cpp,file
checkclass.h,file
checkcondition.cpp,file
checkcondition.h,file
checkexceptionsafety.cpp,file
checkexceptionsafety.h,file
checkinternal.cpp,file
checkinternal.h,file
checkio.cpp,file
checkio.h,file
checkleakautovar.cpp,file
checkleakautovar.h,file
checkmemoryleak.cpp,file
checkmemoryleak.h,file
checknonreentrantfunctions.cpp,file
checknonreentrantfunctions.h,file
checknullpointer.cpp,file
checknullpointer.h,file
checkobsolescentfunctions.cpp,file
checkobsolescentfunctions.h,file
checkother.cpp,file
checkother.h,file
checkpostfixoperator.cpp,file
checkpostfixoperator.h,file
checksizeof.cpp,file
checksizeof.h,file
checkstatistics.cpp,file
checkstatistics.h,file
checkstl.cpp,file
checkstl.h,file
checkstring.cpp,file
checkstring.h,file
checkthread.cpp,file
checkthread.h,file
checktype.cpp,file
checktype.h,file
checkuninitvar.cpp,file
checkuninitvar.h,file
checkunusedfunctions.cpp,file
checkunusedfunctions.h,file
checkunusedvar.cpp,file
checkunusedvar.h,file
checkvaarg.cpp,file
checkvaarg.h,file
ci.py,file
cli,dir
cli.vcxproj,file
cli.vcxproj.filters,file
cmdlineparser.cpp,file
cmdlineparser.h,file
common.cpp,file
common.h,file
common.pri,file
config.h,file
config.wxi,file
console_common.pri,file
cppcheck-design.docbook,file
cppcheck-gui.rc,file
cppcheck-htmlreport,file
cppcheck.1.xml,file
cppcheck.cbp,file
cppcheck.cpp,file
cppcheck.cppcheck,file
cppcheck.h,file
cppcheck.ico,file
cppcheck.sln,file
cppcheck.vcxproj,file
cppcheck.vcxproj.filters,file
cppcheck.wixproj,file
cppcheck.wxs,file
cppcheck_de.ts,file
cppcheck_es.ts,file
cppcheck_fi.ts,file
cppcheck_fr.ts,file
cppcheck_it.ts,file
cppcheck_ja.ts,file
cppcheck_ko.ts,file
cppcheck_nl.ts,file
cppcheck_ru.ts,file
cppcheck_sr.ts,file
