name,type
.dockerignore,file
.env.template,file
.github,dir
.gitignore,file
.hadolint.yaml,file
.travis.yml,file
2018-01-14-171611_create_tables,dir
2018-02-17-205753_create_collections_and_orgs,dir
2018-04-27-155151_create_users_ciphers,dir
2018-05-08-161616_create_collection_cipher_map,dir
2018-05-25-232323_update_attachments_reference,dir
2018-06-01-112529_update_devices_twofactor_remember,dir
2018-07-11-181453_create_u2f_twofactor,dir
2018-08-27-172114_update_ciphers,dir
2018-09-10-111213_add_invites,dir
2018-09-19-144557_add_kdf_columns,dir
2018-11-27-152651_add_att_key_columns,dir
2019-05-26-216651_rename_key_and_type_columns,dir
2019-09-12-100000_create_tables,dir
2019-09-16-150000_fix_attachments,dir
2019-10-10-083032_add_column_to_twofactor,dir
2019-11-17-011009_add_email_verification,dir
Cargo.lock,file
Cargo.toml,file
Dockerfile,file
Dockerfile.alpine,file
Dockerfile.j2,file
FUNDING.yml,file
ISSUE_TEMPLATE.md,file
LICENSE.txt,file
Makefile,file
README.md,file
Rocket.toml,file
aarch64,dir
accounts.rs,file
admin,dir
admin.rs,file
amd64,dir
api,dir
armv6,dir
armv7,dir
attachment.rs,file
auth.rs,file
authenticator.rs,file
azure-pipelines.yml,file
base.hbs,file
bootstrap-native-v4.js,file
bootstrap.css,file
build.rs,file
change_email.hbs,file
change_email.html.hbs,file
cipher.rs,file
ciphers.rs,file
collection.rs,file
config.rs,file
core,dir
crypto.rs,file
db,dir
delete_account.hbs,file
delete_account.html.hbs,file
device.rs,file
diesel.toml,file
docker,dir
down.sql,file
duo.rs,file
email,dir
email.rs,file
error-x.svg,file
error.rs,file
fallback-icon.png,file
folder.rs,file
folders.rs,file
global_domains.json,file
healthcheck.sh,file
hibp.png,file
icons.rs,file
identicon.js,file
identity.rs,file
images,dir
invite_accepted.hbs,file
invite_accepted.html.hbs,file
invite_confirmed.hbs,file
invite_confirmed.html.hbs,file
login.hbs,file
logo-gray.png,file
mail-github.png,file
mail.rs,file
main.rs,file
md5.js,file
migrations,dir
mod.rs,file
models,dir
mysql,dir
new_device_logged_in.hbs,file
new_device_logged_in.html.hbs,file
notifications.rs,file
organization.rs,file
organizations.rs,file
page.hbs,file
postgresql,dir
pw_hint_none.hbs,file
pw_hint_none.html.hbs,file
pw_hint_some.hbs,file
pw_hint_some.html.hbs,file
render_template,file
rust-linux.yml,file
rust-mac.yml,file
rust-toolchain,file
rust-win.yml,file
rustfmt.toml,file
schema.rs,file
schemas,dir
scripts,dir
send_org_invite.hbs,file
send_org_invite.html.hbs,file
sqlite,dir
src,dir
static,dir
templates,dir
two_factor,dir
two_factor.rs,file
twofactor_email.hbs,file
twofactor_email.html.hbs,file
u2f.rs,file
up.sql,file
user.rs,file
util.rs,file
verify_email.hbs,file
verify_email.html.hbs,file
web.rs,file
welcome.hbs,file
welcome.html.hbs,file
welcome_must_verify.hbs,file
welcome_must_verify.html.hbs,file
workflows,dir
yubikey.rs,file
