name,type
.github,dir
.gitignore,file
.luacheckrc,file
.luarc.json,file
.pre-commit-config.yaml,file
.stylua.toml,file
16x16,dir
22x22,dir
24x24,dir
32x32,dir
48x48,dir
64x64,dir
CHANGELOG.md,file
CONTRIBUTING.md,file
Dockerfile.local,file
Dockerfile.remote,file
FUNDING.yml,file
ISSUE_TEMPLATE,dir
LICENSE,file
Makefile,file
README.md,file
_deprecated.lua,file
alpha,dir
alpha.lua,file
autocmds.lua,file
autopairs.lua,file
bin,dir
bootstrap.lua,file
bootstrap_spec.lua,file
breadcrumbs.lua,file
bufferline.lua,file
builtins,dir
changelog.yml,file
ci,dir
cliff.toml,file
close-inactive-bot.yml,file
cmp.lua,file
code_actions.lua,file
colors.lua,file
commands.lua,file
comment.lua,file
commitlint.config.js,file
commitlint.yml,file
components.lua,file
conditions.lua,file
config,dir
config.example.lua,file
config.lua,file
config.yml,file
config_loader_spec.lua,file
config_win.example.lua,file
core,dir
custom-finders.lua,file
dap.lua,file
dashboard.lua,file
default.json,file
defaults.lua,file
desktop,dir
docker,dir
feature-form.yaml,file
format.yaml,file
formatters.lua,file
general-issue-form.yaml,file
generate_new_lockfile.lua,file
generate_new_lockfile.sh,file
git.lua,file
gitsigns.lua,file
helpers.lua,file
hooks.lua,file
icons.lua,file
illuminate.lua,file
indentlines.lua,file
info.lua,file
init.lua,file
install-neovim-from-release,file
install.ps1,file
install.sh,file
install.yaml,file
install_bin.sh,file
install_stylua.sh,file
installer,dir
interface,dir
jdtls,file
jsonls.lua,file
keymappings.lua,file
lint.yaml,file
linters.lua,file
lir.lua,file
log.lua,file
lsp,dir
lsp-issue-form.yaml,file
lsp_spec.lua,file
lua,dir
lua_ls.lua,file
lualine,dir
lvim,dir
lvim.desktop,file
lvim.ps1,file
lvim.svg,file
lvim.template,file
manager.lua,file
mason.lua,file
minimal_init.lua,file
minimal_lsp.lua,file
modules.lua,file
null-ls,dir
nvimtree.lua,file
plugin-loader.lua,file
plugins.lua,file
plugins.yml,file
plugins_load_spec.lua,file
popup.lua,file
project.lua,file
providers,dir
pull_request_template.md,file
run_commitlint.sh,file
run_test.sh,file
services.lua,file
settings.lua,file
snapshots,dir
specs,dir
startify.lua,file
styles.lua,file
table.lua,file
tailwindcss.lua,file
telescope,dir
telescope.lua,file
templates.lua,file
terminal.lua,file
tests,dir
text.lua,file
theme.lua,file
treesitter.lua,file
uninstall.ps1,file
uninstall.sh,file
update_changelog.sh,file
utils,dir
utils.lua,file
verify_plugins.lua,file
verify_plugins.sh,file
vuels.lua,file
which-key.lua,file
workflows,dir
yamlls.lua,file
