name,frequency,ratio
.md,8912,99
.yml,7013,78
.png,6277,70
.json,5998,67
.txt,5116,57
.js,4441,49
.sh,4225,47
.html,4076,45
.css,3572,40
.svg,3557,39
.py,3344,37
.yaml,3309,37
.jpg,2814,31
.ico,2552,28
.xml,2344,26
.ts,2262,25
.toml,2138,24
.gif,2064,23
.lock,2050,23
.h,1730,19
.bat,1472,16
.ttf,1332,15
.in,1227,14
.c,1215,13
.conf,1159,13
.cpp,1088,12
.tsx,1072,12
.properties,1067,12
.java,1055,12
.go,1043,12
.pdf,1000,11
.mjs,965,11
.ini,952,11
.csv,915,10
.scss,915,10
.mod,911,10
.cfg,877,10
.plist,874,10
.sum,832,9
.woff,811,9
.woff2,789,9
.jar,775,9
.rst,764,8
.jpeg,755,8
.ipynb,722,8
.cjs,716,8
.sql,712,8
.zip,701,8
.patch,615,7
.rs,605,7
.ps1,604,7
.proto,602,7
.gradle,596,7
.map,579,6
.example,549,6
.pem,548,6
.webp,540,6
.cmake,539,6
.sln,525,6
.m,524,6
.gz,522,6
.eot,511,6
.vue,511,6
.pbxproj,510,6
.config,507,6
.rb,503,6
.cc,486,5
.cs,485,5
.icns,482,5
.mp4,477,5
.php,475,5
.pro,475,5
.snap,474,5
.hpp,471,5
.swift,466,5
.template,448,5
.cmd,432,5
.xcworkspacedata,422,5
.rc,419,5
.1,409,5
.xcscheme,407,5
.mdx,404,4
.kt,395,4
.jsx,387,4
.csproj,384,4
.bin,383,4
.key,369,4
.otf,363,4
.exe,361,4
.lua,354,4
.mp3,351,4
.storyboard,346,4
.less,334,4
.manifest,330,4
.bash,329,4
.bmp,327,4
.tpl,327,4
.pl,314,3
.service,314,3
.wav,307,3
.crt,306,3
.tmpl,305,3
.mk,303,3
.typed,295,3
.dll,282,3
.env,275,3
.desktop,270,3
.mm,266,3
.inc,264,3
.vcxproj,264,3
.entitlements,253,3
.po,247,3
.props,245,3
.Dockerfile,244,3
.def,242,3
.xib,241,3
.dat,231,3
.db,229,3
.webmanifest,229,3
.spec,226,3
.filters,225,2
.log,219,2
.nix,219,2
.s,215,2
.mts,214,2
.cff,199,2
.podspec,199,2
.S,198,2
.hbs,192,2
.markdown,188,2
.ac,187,2
.cu,186,2
.kts,182,2
.test,182,2
.psd,181,2
.strings,179,2
.xcconfig,178,2
.PNG,175,2
.dist,172,2
.rtf,169,2
.list,168,2
.m4,168,2
.pyi,168,2
.wasm,167,2
.am,166,2
.diff,165,2
.xlsx,163,2
.tex,160,2
.xcsettings,160,2
.TXT,159,2
.so,159,2
.xsd,159,2
.sample,158,2
.MD,157,2
.resx,157,2
.targets,150,2
.pot,149,2
.asm,144,2
.cnf,144,2
.vim,144,2
.zsh,144,2
.ejs,143,2
.pub,143,2
.bazel,142,2
.0,138,2
.svelte,138,2
.build,134,1
.bzl,134,1
.fish,134,1
.xsl,134,1
.iml,132,1
.jsonl,132,1
.ogg,132,1
.tf,132,1
.dot,131,1
.dart,129,1
.out,129,1
.keystore,128,1
.nuspec,128,1
.modulemap,127,1
.ui,126,1
.a,124,1
.gemspec,124,1
.htm,124,1
.json5,124,1
.tsv,124,1
.xaml,124,1
.docx,123,1
.erb,122,1
.pch,122,1
.ai,121,1
.tgz,121,1
.data,119,1
.groovy,119,1
.webm,119,1
.wxs,119,1
.el,118,1
.graphql,117,1
.qrc,116,1
.resolved,116,1
.hcl,115,1
.y,115,1
.3,112,1
.pyx,112,1
.sketch,112,1
.lib,111,1
.scala,111,1
.xcprivacy,109,1
.JPG,107,1
.inl,106,1
.bib,105,1
.bak,104,1
.tar,104,1
.j2,103,1
.rules,103,1
.sub,103,1
.supp,103,1
.awk,102,1
.code-workspace,102,1
.jks,102,1
.development,100,1
.adoc,99,1
.coffee,99,1
.dev,98,1
.pptx,98,1
.frag,97,1
.nsi,97,1
.mo,96,1
.obj,96,1
.tiff,96,1
.xcf,96,1
.dict,95,1
.styl,95,1
.glsl,93,1
.guess,92,1
.production,92,1
.dockerfile,91,1
.idl,91,1
.jsonc,91,1
.bz2,90,1
.d,90,1
.drawio,90,1
.dtd,89,1
.ld,88,1
.iss,87,1
.pkl,87,1
.settings,87,1
.2,86,1
.p12,86,1
.g4,85,1
.user,85,1
.vert,85,1
.prisma,84,1
.csr,83,1
.golden,83,1
.nsh,82,1
.pfx,82,1
.cuh,81,1
.ftl,81,1
.neon,81,1
.snk,81,1
.doc,80,1
.feature,79,1
.install,79,1
.npy,79,1
.asc,78,1
.enc,78,1
.eps,77,1
.local,76,1
.pm,76,1
.l,75,1
.R,74,1
.mustache,74,1
.sass,74,1
.info,72,1
.lst,72,1
.common,71,1
.hh,71,1
.xz,71,1
.docs,70,1
.DotSettings,69,1
.appxmanifest,68,1
.dylib,68,1
.mak,68,1
.natvis,68,1
.sqlite,68,1
.hs,67,1
.default,66,1
.meta,66,1
.vcproj,66,1
.pb,65,1
.raw,65,1
.cer,64,1
.clj,64,1
.code-snippets,64,1
.psm1,64,1
.tif,64,1
.cur,63,1
.disabled,63,1
.lockb,63,1
.o,63,1
.parquet,63,1
.ru,63,1
.t,63,1
.xls,63,1
.5,62,1
.astro,62,1
.pyc,62,1
.8,61,1
.opts,61,1
.dox,60,1
.gyp,60,1
.prefs,60,1
.pug,60,1
.reg,60,1
.scm,60,1
.types,60,1
.old,59,1
.aidl,58,1
.exp,58,1
.lds,58,1
.mako,58,1
.apk,57,1
.com,57,1
.expected,57,1
.hlsl,57,1
.mov,57,1
.MF,56,1
.avif,56,1
.fs,56,1
.init,56,1
.pas,56,1
.rake,56,1
.cts,55,1
.cxx,55,1
.der,55,1
.jinja,55,1
.res,55,1
.swf,55,1
.xpm,55,1
.6,54,1
.bats,54,1
.i,54,1
.stderr,54,1
.tcl,54,1
.work,54,1
.class,53,1
.ex,53,1
.mat,53,1
.org,53,1
.pxd,53,1
.sed,53,1
.zig,53,1
.inf,52,1
.ml,52,1
.onnx,52,1
.options,52,1
.pt,52,1
.r,52,1
.srl,52,1
.vbs,51,1
.pdb,50,1
.thrift,50,1
.cshtml,49,1
.fbs,49,1
.jl,49,1
.libyaml,49,1
.src,49,1
.MockMaker,48,1
.http,48,1
.pc,48,1
.LICENSE,47,1
.exs,47,1
.factories,47,1
.ldif,47,1
.npz,47,1
.sbt,47,1
.xslt,47,1
.gpg,46,1
.index,46,1
.jsp,46,1
.linux,46,1
.tt,46,1
.xhtml,46,1
.Config,45,0
.base,45,0
.graffle,45,0
.sol,45,0
.script,44,0
.binpb,43,0
.erl,43,0
.ino,43,0
.metal,43,0
.nib,43,0
.odt,43,0
.tga,43,0
.man,42,0
.ods,42,0
.release,42,0
.yapf,42,0
.4,41,0
.7,41,0
.dic,41,0
.dsp,41,0
.ignore,41,0
.md5,41,0
.model,41,0
.pickle,41,0
.pth,41,0
.version,41,0
.x,41,0
.zst,41,0
.MIT,40,0
.flow,40,0
.idx,40,0
