name,frequency,ratio
.md,6246,98
.yml,4544,71
.png,3985,62
.json,3727,58
.txt,3220,50
.js,3011,47
.html,2785,44
.sh,2772,43
.css,2226,35
.py,2001,31
.svg,1968,31
.xml,1690,26
.jpg,1668,26
.ico,1454,23
.h,1367,21
.gif,1310,20
.lock,1295,20
.bat,1100,17
.c,1014,16
.yaml,987,15
.in,920,14
.ts,920,14
.ttf,885,14
.java,875,14
.conf,780,12
.properties,775,12
.cpp,722,11
.cfg,706,11
.go,704,11
.woff,683,11
.ini,641,10
.rst,615,10
.scss,614,10
.toml,594,9
.jar,593,9
.pdf,592,9
.plist,591,9
.eot,546,9
.woff2,486,8
.mod,484,8
.gradle,483,8
.map,467,7
.m,459,7
.csv,456,7
.sln,453,7
.rb,433,7
.sum,426,7
.pbxproj,414,6
.zip,411,6
.php,408,6
.config,396,6
.proto,380,6
.cs,374,6
.sql,373,6
.pro,363,6
.pem,362,6
.1,353,6
.cc,351,5
.ps1,347,5
.cmake,345,5
.cmd,334,5
.hpp,326,5
.pl,325,5
.xcworkspacedata,312,5
.xcscheme,309,5
.rc,303,5
.patch,302,5
.csproj,300,5
.less,296,5
.gz,291,5
.ipynb,289,5
.icns,283,4
.otf,282,4
.template,269,4
.exe,267,4
.jpeg,267,4
.key,264,4
.tsx,260,4
.swift,254,4
.mk,246,4
.s,245,4
.vcxproj,244,4
.bash,243,4
.bmp,243,4
.rs,233,4
.storyboard,231,4
.snap,229,4
.tmpl,228,4
.xib,228,4
.markdown,220,3
.vue,220,3
.dll,218,3
.crt,212,3
.inc,211,3
.lua,210,3
.filters,207,3
.bin,201,3
.example,198,3
.ac,197,3
.service,192,3
.def,191,3
.m4,191,3
.manifest,183,3
.podspec,181,3
.kt,179,3
.dat,176,3
.am,175,3
.po,175,3
.mm,172,3
.mp4,172,3
.tpl,171,3
.props,170,3
.spec,165,3
.jsx,161,3
.mp3,160,2
.wav,157,2
.strings,155,2
.dist,154,2
.vim,154,2
.S,151,2
.log,150,2
.psd,149,2
.enc,145,2
.desktop,143,2
.xsd,138,2
.resx,133,2
.TXT,132,2
.xsl,132,2
.rtf,131,2
.pch,127,2
.xcconfig,124,2
.bzl,121,2
.opts,121,2
.tex,121,2
.asm,120,2
.db,118,2
.el,117,2
.hbs,117,2
.PNG,116,2
.a,115,2
.sample,113,2
.y,113,2
.coffee,112,2
.nuspec,112,2
.erb,111,2
.so,111,2
.list,110,2
.gemspec,108,2
.htm,108,2
.out,107,2
.lib,106,2
.test,105,2
.groovy,103,2
.pot,103,2
.settings,103,2
.sub,103,2
.dot,102,2
.ejs,102,2
.3,101,2
.libyaml,101,2
.modulemap,101,2
.ai,100,2
.entitlements,100,2
.guess,100,2
.xcsettings,98,2
.0,97,2
.diff,97,2
.sketch,97,2
.xaml,96,2
.styl,95,1
.iml,94,1
.awk,93,1
.ogg,93,1
.scala,93,1
.targets,92,1
.cnf,90,1
.data,90,1
.pyx,90,1
.dtd,89,1
.qrc,89,1
.ui,89,1
.build,87,1
.docs,84,1
.golden,84,1
.supp,83,1
.vcproj,82,1
.cu,81,1
.install,81,1
.inl,80,1
.rules,78,1
.tsv,78,1
.d,77,1
.webp,77,1
.MD,76,1
.pm,75,1
.pub,75,1
.swf,75,1
.xcf,75,1
.xlsx,75,1
.env,74,1
.pfx,73,1
.bazel,72,1
.bz2,71,1
.jks,71,1
.l,71,1
.JPG,70,1
.tgz,70,1
.wxs,70,1
.doc,69,1
.eps,69,1
.nsi,69,1
.snk,69,1
.user,69,1
.feature,68,1
.keystore,68,1
.mo,68,1
.adoc,67,1
.mak,67,1
.common,65,1
.ld,64,1
.tiff,64,1
.default,63,1
.obj,63,1
.asc,62,1
.fish,62,1
.tar,62,1
.2,61,1
.prefs,61,1
.sass,60,1
.zsh,60,1
.Dockerfile,59,1
.iss,59,1
.8,58,1
.appxmanifest,58,1
.dart,58,1
.csr,57,1
.docx,57,1
.idl,57,1
.xpm,57,1
.clj,56,1
.cur,56,1
.mjs,56,1
.R,55,1
.com,55,1
.gyp,55,1
.info,55,1
.bib,54,1
.DotSettings,53,1
.hh,53,1
.lst,53,1
.meta,53,1
.sed,53,1
.types,53,1
.5,52,1
.bak,52,1
.dylib,52,1
.exp,52,1
.ftl,52,1
.hs,52,1
.p12,52,1
.webmanifest,52,1
.MF,51,1
.dox,51,1
.frag,51,1
.pug,51,1
.raw,51,1
