name,frequency,ratio
src,2993,47
.github,2938,46
test,2174,34
docs,1902,30
tests,1621,25
images,1584,25
lib,1484,23
examples,1408,22
scripts,1397,22
utils,1372,21
assets,1267,20
ISSUE_TEMPLATE,1252,20
css,1179,18
config,1169,18
data,1049,16
util,1007,16
js,991,15
bin,966,15
core,945,15
tools,931,15
common,892,14
templates,889,14
api,876,14
main,870,14
img,852,13
components,850,13
resources,835,13
fonts,801,13
java,800,12
app,760,12
static,748,12
doc,712,11
plugins,696,11
build,669,10
workflows,636,10
internal,604,9
fixtures,582,9
modules,568,9
include,562,9
layout,556,9
icons,555,9
server,545,9
public,543,8
types,539,8
client,535,8
vendor,530,8
com,529,8
wrapper,525,8
docker,521,8
base,500,8
res,494,8
models,491,8
helpers,489,8
.circleci,481,8
dist,477,7
source,475,7
example,470,7
model,468,7
ui,464,7
gradle,460,7
integration,425,7
pages,423,7
services,423,7
support,422,7
packages,419,7
views,418,7
values,410,6
json,405,6
unit,404,6
cli,398,6
styles,398,6
windows,391,6
http,388,6
demo,381,6
cache,374,6
plugin,372,6
cmd,365,6
xml,355,6
service,351,5
themes,344,5
auth,342,5
debug,340,5
log,338,5
storage,338,5
text,338,5
html,336,5
xcshareddata,335,5
Resources,332,5
misc,326,5
python,326,5
android,323,5
.vscode,321,5
io,319,5
net,316,5
parser,315,5
files,314,5
shared,314,5
xcschemes,314,5
commands,312,5
errors,312,5
testing,311,5
template,310,5
testdata,308,5
settings,304,5
en,299,5
search,299,5
spec,295,5
web,295,5
image,294,5
AppIcon.appiconset,292,5
contrib,290,5
samples,288,4
project.xcworkspace,283,4
tasks,282,4
cmake,281,4
events,277,4
org,275,4
context,274,4
extensions,272,4
i18n,271,4
linux,271,4
media,270,4
proto,270,4
db,268,4
libs,268,4
store,266,4
Base.lproj,265,4
bootstrap,265,4
pkg,263,4
user,263,4
sys,262,4
menu,260,4
file,255,4
network,254,4
actions,252,4
crypto,251,4
hooks,250,4
content,249,4
metrics,249,4
mipmap-xhdpi,249,4
mipmap-xxhdpi,249,4
runtime,248,4
system,248,4
basic,246,4
drawable,246,4
mipmap-mdpi,246,4
_static,245,4
mipmap-hdpi,245,4
view,244,4
go,241,4
ci,240,4
default,240,4
version,239,4
node,238,4
conf,236,4
google,233,4
schema,233,4
Properties,230,4
__snapshots__,230,4
layouts,229,4
theme,229,4
__tests__,227,4
security,227,4
unix,227,4
script,226,4
input,225,4
compiler,223,3
admin,222,3
filters,222,3
v1,222,3
benchmark,219,3
etc,219,3
controller,218,3
filter,218,3
dev,217,3
event,217,3
logging,217,3
lang,216,3
META-INF,215,3
benchmarks,214,3
impl,213,3
mipmap-xxxhdpi,213,3
metadata,212,3
simple,212,3
features,206,3
resource,206,3
platform,205,3
migrations,203,3
apps,202,3
Tests,201,3
sql,201,3
transform,201,3
controllers,200,3
sample,199,3
time,199,3
protobuf,198,3
ext,196,3
functions,195,3
external,194,3
reference,194,3
x,193,3
Assets.xcassets,191,3
color,189,3
e2e,189,3
module,188,3
de,187,3
generator,187,3
list,187,3
table,187,3
unicode,187,3
locale,186,3
proxy,186,3
configuration,185,3
mixins,185,3
third_party,185,3
stats,184,3
code,183,3
configs,183,3
custom,182,3
es,182,3
v2,182,3
