name,frequency,ratio
src,1073,40
test,972,37
lib,774,29
tests,623,24
examples,561,21
images,554,21
docs,511,19
css,509,19
js,471,18
bin,461,17
scripts,420,16
doc,412,16
templates,367,14
config,362,14
util,361,14
tools,354,13
data,344,13
utils,327,12
resources,319,12
fonts,307,12
core,299,11
img,291,11
java,279,11
assets,270,10
main,266,10
include,265,10
common,257,10
build,240,9
plugins,237,9
static,237,9
api,235,9
app,214,8
com,210,8
fixtures,202,8
dist,193,7
layout,187,7
vendor,186,7
source,185,7
example,184,7
views,183,7
icons,180,7
res,176,7
modules,174,7
ui,172,6
misc,171,6
server,169,6
support,165,6
html,164,6
spec,159,6
client,158,6
unit,156,6
libs,153,6
helpers,152,6
Resources,151,6
base,151,6
xml,151,6
themes,146,6
internal,144,5
models,142,5
services,142,5
demo,140,5
public,137,5
bootstrap,136,5
samples,133,5
values,133,5
io,132,5
org,132,5
http,129,5
contrib,128,5
model,127,5
components,122,5
windows,122,5
files,120,5
integration,118,4
plugin,118,4
wrapper,117,4
conf,116,4
controllers,115,4
cache,114,4
script,113,4
styles,113,4
tasks,113,4
web,112,4
json,111,4
Properties,109,4
net,108,4
commands,107,4
db,106,4
man,105,4
jquery,104,4
python,104,4
search,104,4
android,102,4
etc,102,4
gradle,101,4
project.xcworkspace,101,4
testing,101,4
drawable-hdpi,100,4
debian,99,4
event,99,4
less,99,4
auth,98,4
ext,98,4
parser,98,4
default,97,4
drawable-mdpi,96,4
locale,95,4
stylesheets,94,4
en.lproj,93,4
extensions,93,4
file,93,4
_static,92,3
filters,92,3
lang,92,3
linux,92,3
en,91,3
de,90,3
drawable-xhdpi,90,3
i18n,90,3
image,90,3
log,90,3
packages,90,3
settings,90,3
text,90,3
META-INF,89,3
benchmark,89,3
m4,89,3
storage,89,3
win32,89,3
xcshareddata,89,3
debug,88,3
media,88,3
system,88,3
impl,87,3
template,87,3
basic,86,3
fr,86,3
menu,86,3
Tests,85,3
content,85,3
filter,85,3
user,85,3
cmake,84,3
security,84,3
xcschemes,84,3
admin,83,3
pages,83,3
apps,82,3
es,82,3
javascript,82,3
simple,82,3
compiler,80,3
events,80,3
testdata,80,3
platform,79,3
cli,77,3
shared,77,3
font,76,3
it,76,3
ru,76,3
x86,76,3
library,75,3
service,75,3
crypto,74,3
external,74,3
drawable,73,3
layouts,73,3
math,73,3
sample,73,3
types,73,3
dev,71,3
errors,71,3
project,70,3
sql,70,3
network,69,3
pl,69,3
zlib,69,3
browser,68,3
drawable-xxhdpi,68,3
gui,68,3
input,68,3
view,68,3
c,67,3
cmd,67,3
includes,67,3
lua,66,2
php,66,2
bench,65,2
exception,65,2
logging,65,2
async,64,2
node,64,2
widgets,64,2
AppIcon.appiconset,63,2
Images.xcassets,63,2
compat,63,2
editor,63,2
javascripts,63,2
mysql,63,2
functions,62,2
google,62,2
help,62,2
hooks,62,2
local,62,2
nl,62,2
shell,62,2
webapp,62,2
command,61,2
functional,61,2
generic,61,2
list,61,2
Common,60,2
_templates,60,2
benchmarks,60,2
ruby,60,2
tree,60,2
win,60,2
WEB-INF,59,2
features,59,2
ja,59,2
locales,59,2
patches,59,2
rpm,59,2
site,59,2
ssl,59,2
Core,58,2
generators,58,2
module,58,2
runtime,58,2
schema,58,2
actions,57,2
mac,57,2
messages,57,2
mixins,57,2
tutorial,57,2
controller,56,2
cs,56,2
markdown,56,2
osx,56,2
performance,56,2
release,56,2
sass,56,2
table,56,2
theme,56,2
tr,56,2
.settings,55,2
classes,55,2
foo,55,2
go,55,2
logs,55,2
partials,55,2
setup,55,2
style,55,2
arm,54,2
console,54,2
context,54,2
properties,54,2
sys,54,2
unix,54,2
Exception,53,2
_layouts,53,2
audio,53,2
index,53,2
syntax,53,2
color,52,2
demos,52,2
init,52,2
meta,52,2
po,52,2
reference,52,2
share,52,2
string,52,2
svg,52,2
Images,51,2
Scripts,51,2
a,51,2
collections,51,2
configuration,51,2
os,51,2
other,51,2
package,51,2
protocol,51,2
time,51,2
type,51,2
Source,50,2
Tools,50,2
deps,50,2
error,50,2
jni,50,2
output,50,2
LaunchImage.launchimage,49,2
ca,49,2
code,49,2
generator,49,2
graph,49,2
hash,49,2
install,49,2
proxy,49,2
sv,49,2
arch,48,2
custom,48,2
engine,48,2
groovy,48,2
helper,48,2
hu,48,2
database,47,2
drawable-ldpi,47,2
exceptions,47,2
extras,47,2
legacy,47,2
loader,47,2
perf,47,2
b,46,2
dom,46,2
handler,46,2
map,46,2
packaging,46,2
raw,46,2
screenshots,46,2
session,46,2
users,46,2
widget,46,2
Base.lproj,45,2
assembly,45,2
dashboard,45,2
el,45,2
fi,45,2
kernel,45,2
logo,45,2
resource,45,2
scala,45,2
subdir,45,2
third_party,45,2
annotation,44,2
archive,44,2
forms,44,2
fs,44,2
git,44,2
msvc,44,2
pkg,44,2
stats,44,2
builder,43,2
libraries,43,2
node_modules,43,2
uk,43,2
zh_CN,43,2
_includes,42,2
adapters,42,2
cluster,42,2
cpp,42,2
da,42,2
extra,42,2
format,42,2
pt,42,2
scss,42,2
